epoch,lr,train_accuracy,train_macro_f1,train_cohen_kappa,train_weighted_kappa,train_precision_c0,train_recall_c0,train_f1_c0,train_support_c0,train_precision_c1,train_recall_c1,train_f1_c1,train_support_c1,train_precision_c2,train_recall_c2,train_f1_c2,train_support_c2,train_precision_c3,train_recall_c3,train_f1_c3,train_support_c3,train_precision_c4,train_recall_c4,train_f1_c4,train_support_c4,train_precision_c5,train_recall_c5,train_f1_c5,train_support_c5,train_loss,val_accuracy,val_macro_f1,val_cohen_kappa,val_weighted_kappa,val_precision_c0,val_recall_c0,val_f1_c0,val_support_c0,val_precision_c1,val_recall_c1,val_f1_c1,val_support_c1,val_precision_c2,val_recall_c2,val_f1_c2,val_support_c2,val_precision_c3,val_recall_c3,val_f1_c3,val_support_c3,val_precision_c4,val_recall_c4,val_f1_c4,val_support_c4,val_precision_c5,val_recall_c5,val_f1_c5,val_support_c5,val_loss,is_best
1,2.125e-05,0.26865671641791045,0.08927381745502998,-0.005513016845329233,-0.005259087393658213,0.14285714285714285,0.08333333333333333,0.10526315789473684,12,0.2833333333333333,0.8947368421052632,0.43037974683544306,19,0.0,0.0,0.0,8,0.0,0.0,0.0,15,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.8355802623193656,0.18181818181818182,0.05128205128205129,0.0,0.0,0.18181818181818182,1.0,0.3076923076923077,6,0.0,0.0,0.0,8,0.0,0.0,0.0,5,0.0,0.0,0.0,8,0.0,0.0,0.0,4,0.0,0.0,0.0,2,0.7296246098749566,True
2,3.25e-05,0.2835820895522388,0.07364341085271318,0.0,0.0,0.0,0.0,0.0,12,0.2835820895522388,1.0,0.4418604651162791,19,0.0,0.0,0.0,8,0.0,0.0,0.0,15,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.8124919473235287,0.18181818181818182,0.05128205128205129,0.0,0.0,0.18181818181818182,1.0,0.3076923076923077,6,0.0,0.0,0.0,8,0.0,0.0,0.0,5,0.0,0.0,0.0,8,0.0,0.0,0.0,4,0.0,0.0,0.0,2,0.7037822326024373,False
3,4.375e-05,0.2835820895522388,0.07364341085271318,0.0,0.0,0.0,0.0,0.0,12,0.2835820895522388,1.0,0.4418604651162791,19,0.0,0.0,0.0,8,0.0,0.0,0.0,15,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.7794314055300471,0.18181818181818182,0.05128205128205129,0.0,0.0,0.18181818181818182,1.0,0.3076923076923077,6,0.0,0.0,0.0,8,0.0,0.0,0.0,5,0.0,0.0,0.0,8,0.0,0.0,0.0,4,0.0,0.0,0.0,2,0.7090910025919327,False
4,5.4999999999999995e-05,0.2835820895522388,0.07539682539682539,0.006794317479925982,-0.023399415014624614,0.0,0.0,0.0,12,0.2923076923076923,1.0,0.4523809523809524,19,0.0,0.0,0.0,8,0.0,0.0,0.0,15,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.7664354589448046,0.18181818181818182,0.05128205128205129,0.0,0.0,0.18181818181818182,1.0,0.3076923076923077,6,0.0,0.0,0.0,8,0.0,0.0,0.0,5,0.0,0.0,0.0,8,0.0,0.0,0.0,4,0.0,0.0,0.0,2,0.7241011782728061,False
5,6.625e-05,0.16417910447761194,0.08714975845410629,0.03473115513249303,0.05086192182966376,0.0,0.0,0.0,12,0.6666666666666666,0.21052631578947367,0.32,19,0.11475409836065574,0.875,0.2028985507246377,8,0.0,0.0,0.0,15,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.7533432675831353,0.18181818181818182,0.05128205128205129,0.0,0.0,0.18181818181818182,1.0,0.3076923076923077,6,0.0,0.0,0.0,8,0.0,0.0,0.0,5,0.0,0.0,0.0,8,0.0,0.0,0.0,4,0.0,0.0,0.0,2,0.7474632386607353,False
6,7.75e-05,0.11940298507462686,0.035555555555555556,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,19,0.11940298507462686,1.0,0.21333333333333335,8,0.0,0.0,0.0,15,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.74078792956338,0.12121212121212122,0.036036036036036036,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,8,0.0,0.0,0.0,5,0.0,0.0,0.0,8,0.12121212121212122,1.0,0.21621621621621623,4,0.0,0.0,0.0,2,0.7726072014582278,False
7,8.875e-05,0.11940298507462686,0.035555555555555556,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,19,0.11940298507462686,1.0,0.21333333333333335,8,0.0,0.0,0.0,15,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.7412615969999513,0.12121212121212122,0.036036036036036036,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,8,0.0,0.0,0.0,5,0.0,0.0,0.0,8,0.12121212121212122,1.0,0.21621621621621623,4,0.0,0.0,0.0,2,0.7553190395085498,False
8,0.0001,0.2537313432835821,0.13462493790362642,0.11818899710450126,0.17087641973215795,0.0,0.0,0.0,12,0.6428571428571429,0.47368421052631576,0.5454545454545454,19,0.1509433962264151,1.0,0.26229508196721313,8,0.0,0.0,0.0,15,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.7292735017947296,0.3939393939393939,0.23373651520104607,0.2609182530795072,0.5604688332445391,1.0,0.16666666666666666,0.2857142857142857,6,0.5333333333333333,1.0,0.6956521739130435,8,0.0,0.0,0.0,5,0.0,0.0,0.0,8,0.26666666666666666,1.0,0.42105263157894735,4,0.0,0.0,0.0,2,0.641614687563193,True
9,9.995288696830197e-05,0.43283582089552236,0.22680776014109347,0.2572928821470245,0.46176092544987146,0.0,0.0,0.0,12,0.5428571428571428,1.0,0.7037037037037037,19,0.16666666666666666,0.25,0.2,8,0.4,0.5333333333333333,0.45714285714285713,15,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.6414907673401619,0.42424242424242425,0.28939393939393937,0.2931228861330326,0.5604688332445391,0.75,0.5,0.6,6,0.5,0.875,0.6363636363636364,8,0.0,0.0,0.0,5,0.0,0.0,0.0,8,0.3333333333333333,1.0,0.5,4,0.0,0.0,0.0,2,0.5558709680432021,True
10,9.98116375555414e-05,0.47761194029850745,0.2426368952684742,0.30907483794932245,0.5755464048146975,0.0,0.0,0.0,12,0.5277777777777778,1.0,0.6909090909090909,19,0.14285714285714285,0.125,0.13333333333333333,8,0.5217391304347826,0.8,0.631578947368421,15,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.5730194209226921,0.36363636363636365,0.26827731092436974,0.22396416573348266,0.6004036326942481,0.45454545454545453,0.8333333333333334,0.5882352941176471,6,0.25,0.25,0.25,8,0.0,0.0,0.0,5,0.5,0.125,0.2,8,0.4,1.0,0.5714285714285714,4,0.0,0.0,0.0,2,0.49236661550974603,False
